county,id,sh_usfr_within_50miles,sh_usfr_within_100miles,sh_usfr_within_500miles
18053,723,0.58,0.7,0.87
18055,724,0.7,0.81,0.91
18057,725,0.5,0.59,0.82
18059,726,0.65,0.72,0.87
18061,727,0.71,0.77,0.91
18063,728,0.6,0.66,0.85
18065,729,0.72,0.78,0.9
18067,730,0.68,0.74,0.88
18069,731,0.65,0.74,0.89
18071,732,0.69,0.79,0.91
18073,733,0.6,0.73,0.87
18075,734,0.71,0.8,0.91
18077,735,0.65,0.78,0.91
18079,736,0.73,0.82,0.92
18081,737,0.63,0.71,0.87
18083,738,0.61,0.71,0.91
18085,739,0.62,0.69,0.87
18087,740,0.67,0.72,0.89
18089,741,0.66,0.69,0.84
18091,742,0.63,0.72,0.86
18093,743,0.7,0.79,0.9
18095,744,0.69,0.75,0.88
18097,745,0.6,0.64,0.85
18099,746,0.63,0.71,0.86
18101,747,0.71,0.81,0.92
18103,748,0.64,0.76,0.88
18105,749,0.44,0.53,0.79
18107,750,0.68,0.74,0.89
18109,751,0.71,0.77,0.89
18111,752,0.6,0.71,0.86
18113,753,0.69,0.74,0.89
18115,754,0.71,0.78,0.91
18117,755,0.68,0.79,0.91
18119,756,0.71,0.78,0.9
18121,757,0.67,0.77,0.89
18123,758,0.69,0.79,0.92
18125,759,0.74,0.79,0.92
18127,760,0.63,0.67,0.84
18129,761,0.7,0.73,0.9
18131,762,0.66,0.77,0.89
18133,763,0.61,0.68,0.86
18135,764,0.69,0.78,0.91
18137,765,0.69,0.8,0.91
18139,766,0.74,0.81,0.91
18141,767,0.55,0.63,0.8
18143,768,0.75,0.82,0.93
18145,769,0.72,0.79,0.9
18147,770,0.69,0.75,0.91
18149,771,0.68,0.76,0.89
18151,772,0.59,0.67,0.88
18153,773,0.7,0.8,0.91
18155,774,0.7,0.79,0.91
18157,775,0.42,0.6,0.82
18159,776,0.72,0.78,0.9
18161,777,0.71,0.78,0.91
18163,778,0.63,0.69,0.89
18165,779,0.7,0.79,0.91
18167,780,0.54,0.69,0.88
18169,781,0.65,0.77,0.9
18171,782,0.66,0.77,0.9
18173,783,0.65,0.71,0.89
18175,784,0.74,0.81,0.92
18177,785,0.64,0.74,0.88
18179,786,0.68,0.76,0.89
18181,787,0.6,0.76,0.87
18183,788,0.67,0.76,0.89
19001,789,0.52,0.73,0.88
19003,790,0.56,0.72,0.88
19005,791,0.58,0.7,0.89
19007,792,0.59,0.73,0.89
19009,793,0.49,0.71,0.87
19011,794,0.64,0.75,0.87
19013,795,0.53,0.68,0.85
19015,796,0.61,0.68,0.86
19017,797,0.53,0.71,0.88
19019,798,0.68,0.76,0.9
19021,799,0.43,0.55,0.81
19023,800,0.63,0.77,0.89
